"tweets.id" "tweets.created" "tweets.text"
"93" "801505375581306883" 1479928747 "RT @CFBPlayoff: The #CFBPlayoff National Championship Trophy is headed to Colombus for @UMichFootball vs. @OhioStateFB. https://t.co/xmJthB‚Ä¶"
"94" "801505294119473152" 1479928728 "Football this Saturday: @Pitt_FB @CuseFootball on @WTAE at 12:30pm @OhioStateFB @UMichFootball on @thistv and‚Ä¶ https://t.co/EzERid4uP2"
"95" "801505118290083840" 1479928686 "RT @CFBPlayoff: The #CFBPlayoff National Championship Trophy is headed to Colombus for @UMichFootball vs. @OhioStateFB. https://t.co/xmJthB‚Ä¶"
"96" "801504588541132801" 1479928559 "@Lions vs @Vikings on Thanksgiving and  @UMichFootball vs @OhioStateFB on Saturday! O' this should be good! Ì†æÌ∂ÉÌ†ºÌøàÌ†ΩÌ≥∫"
"97" "801504283938131968" 1479928487 "RT @CFBPlayoff: The #CFBPlayoff National Championship Trophy is headed to Colombus for @UMichFootball vs. @OhioStateFB. https://t.co/xmJthB‚Ä¶"
"98" "801503981302202368" 1479928415 "@CFBPlayoff @UMichFootball @OhioStateFB @drpepper @espn *Columbus* Put some respeck on it. I ain't gon say it no mo‚Ä¶ https://t.co/ggW9bIBjmO"
"99" "801503974528602112" 1479928413 "RT @CFBPlayoff: The #CFBPlayoff National Championship Trophy is headed to Colombus for @UMichFootball vs. @OhioStateFB. https://t.co/xmJthB‚Ä¶"
"100" "801503799760322562" 1479928371 "RT @CFBPlayoff: The #CFBPlayoff National Championship Trophy is headed to Colombus for @UMichFootball vs. @OhioStateFB. https://t.co/xmJthB‚Ä¶"
"101" "801503755309117440" 1479928361 "RT @CFBPlayoff: The #CFBPlayoff National Championship Trophy is headed to Colombus for @UMichFootball vs. @OhioStateFB. https://t.co/xmJthB‚Ä¶"
"102" "801503751794262019" 1479928360 "RT @CFBPlayoff: The #CFBPlayoff National Championship Trophy is headed to Colombus for @UMichFootball vs. @OhioStateFB. https://t.co/xmJthB‚Ä¶"
"103" "801503482922549248" 1479928296 "Does @ESPNCFB own shares in @OhioStateFB and @UMichFootball?????? Make it stop!"
"104" "801503102125932547" 1479928205 "RT @CFBPlayoff: The #CFBPlayoff National Championship Trophy is headed to Colombus for @UMichFootball vs. @OhioStateFB. https://t.co/xmJthB‚Ä¶"
"105" "801503098678034432" 1479928204 "RT @CFBPlayoff: The #CFBPlayoff National Championship Trophy is headed to Colombus for @UMichFootball vs. @OhioStateFB. https://t.co/xmJthB‚Ä¶"
"106" "801503063655780352" 1479928196 "@CFBPlayoff @UMichFootball @OhioStateFB @drpepper @espn it's spelled C O L U M B U S! But not surprised that you all can't spell Ì†ΩÌ∏ÇÌ†ΩÌ∏ÇÌ†ΩÌ∏ÇÌ†ΩÌ∏Ç"
"107" "801502505007980544" 1479928063 "RT @CFBPlayoff: The #CFBPlayoff National Championship Trophy is headed to Colombus for @UMichFootball vs. @OhioStateFB. https://t.co/xmJthB‚Ä¶"
"108" "801502173939040268" 1479927984 "RT @CFBPlayoff: The #CFBPlayoff National Championship Trophy is headed to Colombus for @UMichFootball vs. @OhioStateFB. https://t.co/xmJthB‚Ä¶"
"109" "801501702700617728" 1479927871 "RT @CFBPlayoff: The #CFBPlayoff National Championship Trophy is headed to Colombus for @UMichFootball vs. @OhioStateFB. https://t.co/xmJthB‚Ä¶"
"110" "801500184735842306" 1479927509 "RT @CFBPlayoff: The #CFBPlayoff National Championship Trophy is headed to Colombus for @UMichFootball vs. @OhioStateFB. https://t.co/xmJthB‚Ä¶"
"111" "801500176963796999" 1479927507 "@CFBPlayoff @UMichFootball @OhioStateFB @drpepper @espn ... and Columbus Ì†ΩÌ∏ê"
"112" "801499988631187456" 1479927463 "RT @CFBPlayoff: The #CFBPlayoff National Championship Trophy is headed to Colombus for @UMichFootball vs. @OhioStateFB. https://t.co/xmJthB‚Ä¶"
